*  
*             E T A - U M A
*    Table file for Eta Ursa Majoris flux standard 
*    based on data from STScI ( see Turnshek et al. 
*    AJ, 99, 1243, 1990 ). Data extracted from STSDAS 
*    table held in CALSPEC directory at STScI. Fluxes 
*    formed from Voyager, IUE and optical ( Oke and 
*    others ) data. Note that these are fitted continuum 
*    fluxes, not directly measured fluxes and so should be 
*    treated in the same way as Fillipenko and Greenstein 
*    standards
*
SET .Z.UNITS = "milli-Janskys" 
SET .Z.LABEL = "Flux" 
*
  925.5200       5459706.    
  934.7800      1.7755130E+07
  944.0400      4.6151568E+07
  953.3000      1.0405419E+08
  962.5600      1.6193477E+08
  971.8200      1.7109762E+08
  981.0800      1.7275498E+08
  990.3400      2.3464995E+08
  999.6000      3.3767702E+08
  1008.860      3.7888419E+08
  1018.120      3.1839546E+08
  1027.380      2.5145277E+08
  1036.640      3.1213181E+08
  1045.900      4.9144499E+08
  1055.160      6.1694573E+08
  1064.420      6.3761114E+08
  1073.680      6.2311891E+08
  1082.940      5.9375494E+08
  1092.200      5.7994362E+08
  1101.460      5.8115725E+08
  1110.720      6.1063923E+08
  1119.980      6.0686157E+08
  1129.240      5.8668755E+08
  1138.500      6.3009920E+08
  1147.760      7.0637491E+08
  1155.800      7.4362355E+08
  1157.000      7.8033581E+08
  1158.000      7.3038541E+08
  1159.200      7.6139648E+08
  1160.400      7.3069664E+08
  1161.600      7.7621024E+08
  1162.800      7.2876730E+08
  1164.000      7.4329382E+08
  1165.200      7.1695302E+08
  1166.400      7.4020557E+08
  1167.600      7.7428141E+08
  1168.800      7.4953862E+08
  1169.800      6.9757626E+08
  1171.000      6.3624326E+08
  1172.200      6.0792326E+08
  1173.400      5.8188000E+08
  1174.600      6.1758822E+08
  1175.800      7.0162278E+08
  1177.000      7.4859277E+08
  1178.200      7.6878035E+08
  1179.400      7.7242867E+08
  1180.600      7.8296710E+08
  1181.600      8.1454912E+08
  1182.800      8.5675104E+08
  1184.000      8.5623763E+08
  1185.200      7.6817286E+08
  1186.400      7.6393875E+08
