pixel,wavelength_air,fwhm_guess_pix
89.17,9467.1954,4.0
102.4,9224.4992,4.0
108.26,9122.9674,4.0
136.5,8667.9442,4.0
146.31,8521.4422,4.0
153.68,8416.7269,4.0
164.81,8264.5225,4.0
184.7,8014.7857,4.0
189.79,7948.1764,4.0
209.35,7723.7611,4.0
228.91,7514.6518,4.0
242.06,7383.9805,4.0
253.64,7272.9359,4.0
260.63,7206.9804,4.0
267.48,7147.0416,4.0
276.96,7067.2181,4.0
289.15,6965.4307,4.0
295.8,6911.2264,4.0
300.76,6871.2891,4.0
305.85,6832.8927,4.0
316.26,6752.8335,4.0
319.76,6727.4583,4.0
326.83,6677.2817,4.0
339.48,6588.5396,4.0
344.48,6554.1603,4.0
347.92,6531.3418,4.0
359.25,6457.2824,4.0
370.76,6384.7169,4.0
377.61,6342.8595,4.0
380.21,6327.2778,4.0
390.88,6261.4181,4.0
401.59,6203.4925,4.0
417.52,6114.9234,4.0
422.94,6088.0305,4.0
433.08,6032.8726,4.0
441.19,5993.4941,4.0
444.78,5973.6649,4.0
457.47,5912.0853,4.0
462.75,5888.2622,4.0
474.34,5834.2633,4.0
481.04,5804.1412,4.0
490.55,5760.5508,4.0
499.99,5720.1828,4.0
513.33,5665.1799,4.0
517.13,5650.7043,4.0
527.13,5606.733,4.0
532.55,5587.0263,4.0
539.89,5557.9214,4.0
544.71,5539.9106,4.0
555.82,5498.1841,4.0
568.38,5452.2187,4.0
578.28,5417.4858,4.0
584.88,5394.7608,4.0
599.51,5343.5812,4.0
604.56,5326.9756,4.0
609.22,5312.0018,4.0
625.84,5258.3602,4.0
634.55,5231.1597,4.0
641.45,5211.2305,4.0
645.49,5199.1637,4.0
658.45,5158.6041,4.0
664.04,5146.0557,4.0
670.39,5125.4895,4.0
673.52,5115.0448,4.0
679.54,5100.6211,4.0
682.32,5090.5455,4.0
691.61,5067.9737,4.0
698.89,5044.7195,4.0
705.13,5028.6556,4.0
709.49,5017.1628,4.0
715.31,5002.0972,4.0
721.78,4985.3725,4.0
729.59,4965.0795,4.0
737.81,4945.4587,4.0
747.72,4919.8157,4.0
754.54,4904.7516,4.0
758.34,4894.9551,4.0
760.49,4889.0422,4.0
764.66,4879.8635,4.0
770.84,4865.4775,4.0
778.31,4847.8095,4.0
785.51,4831.1213,4.0
789.17,4822.8548,4.0
796.53,4806.0205,4.0
804.49,4789.3868,4.0
809.38,4778.294,4.0
815.56,4764.8646,4.0
829.46,4735.9058,4.0
833.76,4726.8683,4.0
844.62,4703.9898,4.0
853.19,4686.5715,4.0
859.6,4673.6609,4.0
867.55,4657.9012,4.0
878.28,4637.2328,4.0
883.03,4628.4409,4.0
893.05,4609.5673,4.0
903.5,4589.8978,4.0
909.45,4579.3495,4.0
928.51,4545.0519,4.0
936.07,4530.5523,4.0
948.25,4510.7332,4.0
958.58,4493.3337,4.0
965.49,4481.8107,4.0
969.73,4475.2214,4.0
985.73,4448.8792,4.0
991.38,4439.4614,4.0
1000.08,4426.0011,4.0
1011.11,4408.8828,4.0
1016.32,4400.9863,4.0
1022.55,4391.1105,4.0
1030.46,4379.6668,4.0
1036.23,4370.7532,4.0
1042.02,4362.4721,4.0
1051.71,4348.064,4.0
1076.46,4312.9975,4.0
1079.11,4309.2392,4.0
1085.67,4300.1008,4.0
1102.28,4277.5282,4.0
1106.09,4272.1689,4.0
1110.63,4266.5271,4.0
1116.21,4259.3619,4.0
1122.78,4250.3146,4.0
1133.59,4237.2198,4.0
1140.15,4228.158,4.0
1153.89,4210.9232,4.0
1162.74,4200.6745,4.0
1170.06,4191.0294,4.0
1178.69,4181.8836,4.0
1197.11,4158.5905,4.0
1220.38,4131.7235,4.0
1237.26,4112.7545,4.0
1245.2,4103.9121,4.0
1266.77,4080.358,4.0
1274.76,4072.3849,4.0
1293.1,4051.4991,4.0
1309.93,4036.0479,4.0
1314.79,4030.2925,4.0
1326.62,4018.099,4.0
1333.02,4011.7398,4.0
1337.56,4008.2102,4.0
1351.86,3994.5494,4.0
1367.63,3979.3559,4.0
1374.29,3973.1961,4.0
1380.61,3967.3921,4.0
1401.54,3948.9789,4.0
1419.67,3933.6611,4.0
1423.71,3929.2904,4.0
1427.8,3925.7188,4.0
1489.11,3873.8224,4.0
1496.09,3868.5284,4.0
1518.88,3850.5813,4.0
